username,factor_rep,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,avg_reply,avg_retweet,like_reply,avg_quote,hora_rep,followers_diff,clase
ChangeYResults,495,0,219,205,3170,9,1852,0.0,0.0,0.08571428571428572,0.0,0.2571428571428571,-219,bot
WeRaBot,210,0,1057,4391,12976,18,3363,0.0,0.0,2.0,0.0,1.0,-1057,bot
lorettalo22,55,0,450,832,5888,0,13,0.0,9.0,4.0,0.0,1.0,-450,bot
ALOFootball,672,0,196,635,405,0,1,0.0392156862745098,0.2549019607843137,0.6666666666666666,0.058823529411764705,0.1568627450980392,-196,bot
Sunlight_Bot,2977,0,27,0,4225,4,0,0.0,0.0,0.0,0.0,0.09615384615384616,-27,bot
MarkSinderson,702,0,872,339,6127,69,574,0.057692307692307696,0.0,0.5384615384615384,0.0,0.1346153846153846,-872,bot
guozi_1989,220,0,16,193,219,4,0,0.0,0.0,0.0,0.0,0.5,-16,bot
BetterThanKepa,96,0,20,74,335,0,31,0.2222222222222222,0.0,0.4222222222222222,0.0,0.15555555555555556,-20,bot
cirfis,79,0,3,29,2204,1,1,0.0,0.0,0.2857142857142857,0.0,0.21428571428571427,-3,bot
MKEN_UEA,310,0,324,462,875,20,88,0.0196078431372549,1.2156862745098038,0.8627450980392157,0.0196078431372549,0.27450980392156865,-324,bot
p0lylici0us,52,0,112,24,6450,0,345,0.02857142857142857,0.08571428571428572,0.2,0.0,0.17142857142857143,-112,bot
PrivyTrifles,204,0,1576,586,38431,195,1327,0.6829268292682927,0.24390243902439024,3.4390243902439024,0.04878048780487805,0.17073170731707318,-1576,bot
missyaller,1035,0,15,83,1778,0,3,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,-15,bot
silenfoot,411,0,7,41,2297,1,1,0.0,0.0,0.0,0.0,0.75,-7,bot
solarpowerspork,239,0,1454,433,230862,117,7044,0.5714285714285714,0.2653061224489796,7.530612244897959,0.0,0.24489795918367346,-1454,bot
AlexWVC,61,0,438,990,94753,1,54,1.064516129032258,3.096774193548387,160.25806451612902,0.8709677419354839,0.1935483870967742,-438,bot
30minutemix,2488,0,187,0,5312,6,0,0.0,0.07692307692307693,0.9038461538461539,0.0,0.25,-187,bot
KearseSherrie,131,0,13,38,3624,22,167,0.0,0.0,0.022727272727272728,0.0,0.09090909090909091,-13,bot
mobasharahmed,567,0,148280,115223,127140,204,1125,0.4230769230769231,113.8076923076923,5.230769230769231,0.1346153846153846,0.1346153846153846,-148280,bot
rafaelfotoearte,1242,0,6690,4703,59671,33,1251,0.0,0.0,0.0,0.0,1.0,-6690,bot
ilbolly,203,0,1212,360,51937,35,3588,0.5,0.5,1.1666666666666667,0.0,0.5,-1212,bot
UnlikelyPowers,121,0,686,1,19249,46,0,0.0,0.07692307692307693,0.2692307692307692,0.09615384615384616,0.1346153846153846,-686,bot
ObamaLivesOn,1034,0,1904,8,5731,19,1092,0.0,0.038461538461538464,0.6346153846153846,0.057692307692307696,0.19230769230769232,-1904,bot
bris1124,42,0,23,151,3156,0,1,0.034482758620689655,0.0,0.06896551724137931,0.0,0.1724137931034483,-23,bot
tpeterson207,29,0,94,192,3763,2,42,0.02040816326530612,0.04081632653061224,0.46938775510204084,0.0,0.12244897959183673,-94,bot
Fuckmyjobsuckit,335,0,9,109,27,0,9,0.0,0.3333333333333333,0.0,0.0,0.5,-9,bot
marstu67,178,0,93389,71217,69544,568,1385,1.5,10.48,22.1,0.64,0.2,-93389,bot
_liddoboss,41,0,2438,377,144110,20,4483,0.16666666666666666,0.027777777777777776,0.1388888888888889,0.1111111111111111,0.1388888888888889,-2438,bot
LochNelMonster,1662,0,18,81,2387,1,2,0.05128205128205128,0.0,0.0,0.0,0.20512820512820512,-18,bot
hashfacade,70,0,368,0,2371,65,2371,0.0,0.14285714285714285,0.5714285714285714,0.0,1.0,-368,bot
2fistedstories,211,0,1145,1081,63798,27,56,0.038461538461538464,0.038461538461538464,0.3269230769230769,0.0,0.07692307692307693,-1145,bot
famousduos,0,0,184,36,9279,24,0,0.0,0.0,0.0,0.0,0.26666666666666666,-184,bot
Chev_Chelios7,219,0,86,142,504,0,25,0.08,0.0,0.34,0.0,0.32,-86,bot
korxsy,603,0,14,212,43,0,19,0.1111111111111111,0.0,0.3333333333333333,0.0,0.3333333333333333,-14,bot
pcandmacrepair,265,0,32,193,1473,1,1,0.0,0.5,0.5,0.0,0.5,-32,bot
Grammarly,235,1,226383,3670,38516,3048,9450,0.6136363636363636,2.1136363636363638,11.113636363636363,0.36363636363636365,0.13636363636363635,-226382,bot
AleksandrZorin,651,0,6,46,26,2,2,0.0,0.0,0.0,0.0,0.3333333333333333,-6,bot
bautistalouis7,31,0,22,94,2992,0,1,0.0,0.25,0.3333333333333333,0.0,0.5,-22,bot
shirooooshi,10,0,587,4703,3225,3,5,0.0,0.0,0.0,0.0,1.0,-587,bot
Srta_Manu,51,0,23,141,3666,1,4,0.0,0.0,0.0,0.0,0.5,-23,bot
gusmills,20,0,158,177,3512,4,1,0.5,0.0,0.0,0.0,0.5,-158,bot
Syroid,31,0,4,1,2083,0,0,0.0,0.0,0.0,0.0,0.5,-4,bot
grimmvadah,1644,0,16,26,1051,0,8,0.09615384615384616,0.019230769230769232,0.15384615384615385,0.0,0.19230769230769232,-16,bot
DandaFunk,2419,0,778,1682,4783,28,74,0.0,0.14285714285714285,0.20408163265306123,0.0,0.20408163265306123,-778,bot
maliarooms,4330,0,11686,16882,8940,9,2515,0.0,0.1346153846153846,0.11538461538461539,0.0,0.25,-11686,bot
xxxdroxypro,537,0,27,181,86,0,30,0.08571428571428572,0.08571428571428572,0.6571428571428571,0.14285714285714285,0.17142857142857143,-27,bot
BoozerBill,418,0,96,675,1431,2,6,0.038461538461538464,0.1346153846153846,1.0769230769230769,0.038461538461538464,0.23076923076923078,-96,bot
andrew_beard,66,0,32,16,2773,1,1,0.0,0.07142857142857142,1.3571428571428572,0.0,0.14285714285714285,-32,bot
Camy_Wamy,81,0,158,392,3218,1,2,0.1568627450980392,0.11764705882352941,0.7843137254901961,0.0,0.17647058823529413,-158,bot
SinghLions,419,1,1346696,1433535,33530,2543,3866,5.113636363636363,26.863636363636363,99.1590909090909,0.45454545454545453,0.13636363636363635,-1346695,bot
Albalushi92H,94,0,106,247,3432,1,48,0.0,0.0,0.0,0.0,0.4,-106,bot
Dougie657,222,0,224,1528,4590,2,31,0.038461538461538464,0.057692307692307696,0.7307692307692307,0.057692307692307696,0.3076923076923077,-224,bot
GeoArmenta,109,0,301,365,16662,0,208,0.2222222222222222,0.0,0.5555555555555556,0.0,0.16666666666666666,-301,bot
ipansu,106,0,95116,69586,134866,25,5342,0.0,0.0,0.5555555555555556,0.0,0.2222222222222222,-95116,bot
HypnoAle,57,0,447,1158,11758,4,180,0.0,0.0,1.5,0.0,0.5,-447,bot
TheGregFlynn,297,0,450,134,6733,7,1137,0.26,0.2,1.66,0.12,0.14,-450,bot
bestseotoolco,502,0,152,83,12504,9,504,0.0,0.0,0.0,0.0,0.4,-152,bot
CeddyB64,83,0,190,326,5175,1,19,0.10869565217391304,0.021739130434782608,0.17391304347826086,0.0,0.15217391304347827,-190,bot
schnakebitten,6,0,6,16,3,0,0,0.0,0.0,0.0,0.0,1.0,-6,bot
chrislane883,233,0,56,309,44,0,7,0.4117647058823529,0.11764705882352941,0.7058823529411765,0.0,0.29411764705882354,-56,bot
