username,factor_rep,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,avg_reply,avg_retweet,like_reply,avg_quote,followers_diff,clase
ANationOfMoms,9.0,False,19404,12469,88087,660,7195,0.0,0.0,0.1,0.0,6935,human
AO_FIGJAM,12.0,False,64,71,7328,0,753,0.5,0.1666666666666666,0.8333333333333334,0.0,-7,human
APAC_Outlook,42.0,False,587,198,1261,27,659,0.25,0.375,0.875,0.125,389,human
APQC,30.0,False,6294,4763,16495,354,4742,0.0,0.6363636363636364,1.5454545454545454,0.0909090909090909,1531,human
ARCFertility,21.0,False,4371,2121,14005,58,1918,0.0,0.0,0.375,0.0,2250,human
ARROW_Women,68.0,True,10095,1798,23970,224,5158,0.1666666666666666,4.083333333333333,10.5,0.3333333333333333,8297,human
ARizzo44,3.0,True,888694,227,4141,1992,645,20.666666666666668,63.333333333333336,1023.6666666666666,6.0,888467,human
ASTAKKS,9.0,False,391,204,2824,0,41,0.1,0.6,1.9,0.1,187,human
ASteiner,31.0,True,123617,583,12420,820,5014,3.333333333333333,53.77777777777778,102.66666666666669,1.4444444444444444,123034,human
ATNPassion,24.0,False,4737,503,344,58,130,0.4545454545454545,1.181818181818182,11.454545454545457,0.1818181818181818,4234,human
AWSOpen,83.0,False,42647,312,4158,559,2557,2.2666666666666666,15.2,60.2,1.2666666666666666,42335,human
A_Aspuru_Guzik,19.0,False,19258,5700,11338,248,1404,0.5,0.4285714285714285,9.928571428571429,0.2142857142857142,13558,human
A_Stutterheim,11.0,False,2259,557,14774,41,767,1.0,0.25,7.0,0.0,1702,human
A_Wale15,2.0,False,287,267,5701,0,92,1.0,0.0,1.0,0.0,20,human
Aalana757,20.0,False,16,58,2875,0,1,0.0,0.0,0.2222222222222222,0.0,-42,bot
Aaliya_UK,14.0,False,3547,3494,12054,17,1364,1.1428571428571428,2.571428571428572,12.142857142857142,0.4285714285714285,53,human
AamnahKhan4,30.0,False,984,3303,308,0,96,0.0,0.8333333333333334,6.0,0.1666666666666666,-2319,human
AaronDenius,4.0,False,81988,507,19316,559,1419,0.4,0.0,2.6,0.0,81481,human
AaronWeiche,23.0,False,4965,1698,17940,420,1763,1.0714285714285714,0.2857142857142857,3.5,0.0,3267,human
AbdulazizFitni,12.0,False,122,339,936,0,12,0.0714285714285714,0.1071428571428571,2.0357142857142856,0.0,-217,bot
Abdulka32671237,41.0,False,52,274,347,5,2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0,-222,bot
AbeBeltranL,12.0,False,57,253,2039,0,12,0.4615384615384615,1.9230769230769231,49.76923076923077,0.0,-196,human
AbhinAV87035969,0.0,False,0,66,3,0,0,0.0,0.0,1.0,0.0,-66,human
Abog89,69.0,False,12,195,362,0,3,0.0434782608695652,0.0434782608695652,0.4565217391304347,0.0,-183,bot
AbsolutelyDK,27.0,False,223,496,2583,43,152,0.0,2.1666666666666665,1.3333333333333333,0.0,-273,human
AceSmellsFunny,9.0,False,238,360,5823,1,740,0.0,0.0,0.1428571428571428,0.0,-122,human
Achewchena,15.0,False,63,696,3332,1,345,0.0,0.0,0.5,0.0,-633,human
AchillesofHomer,8.0,False,537,4980,109979,35,790,0.0,0.0,0.0,0.0,-4443,human
ActToCap,3.0,False,1406,2609,1353,8,266,0.3,0.3,4.4,0.1,-1203,human
Actarus25,15.0,False,495,454,1204,9,43,0.3333333333333333,0.6666666666666666,6.666666666666667,0.0,41,human
AdamAtchison,6.0,True,2549,2562,19798,115,1114,0.1666666666666666,0.1666666666666666,2.6666666666666665,0.1666666666666666,-13,human
AdamNikki2,112.0,False,364,2556,119,2,64,0.0588235294117647,0.0980392156862745,0.6862745098039216,0.0,-2192,bot
AdamRatnerMD,16.0,False,3834,3065,1849,89,31,1.3333333333333333,6.111111111111111,17.0,0.7777777777777778,769,human
Adam_Homen21,19.0,False,472,311,19487,2,861,0.0,0.6666666666666666,1.5555555555555556,0.0,161,human
AdaptiveAgents,20.0,False,2814,796,2364,121,200,0.5,2.583333333333333,12.833333333333334,0.0833333333333333,2018,human
