date,content,username,description,display_name,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,language,replyCount,retweetCount,likeCount,quoteCount,sourceUrl,sourceLabel
2022-12-10 11:56:04+00:00,Sorcerer Supreme Wanda is pretty cool! https://t.co/vltrYsAcAx,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,16,51,520,10,http://twitter.com/download/android,Twitter for Android
2022-12-10 11:07:55+00:00,@aFallenWolf @ultratron563 I said both.,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,0,0,15,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 10:10:48+00:00,And no. I do mean animation. Watch the scene. It's bizarre. He is genuinely worse animated than everything else.,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,0,0,53,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 10:09:39+00:00,@ultratron563 Nope. I literally mean the animation for him in particular is worse than the rest of the show. It's bizarre,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,2,0,162,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 10:06:51+00:00,@f_rockin No no i quite literally mean the animation for Yoda is worse than everything else in the show. It's quite bizarre to watch,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,0,0,62,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 10:04:48+00:00,@cgd0911 Nearing the end of season 2 but i did watch it all 2 year ago,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,0,0,1,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 00:43:03+00:00,I love that Zeb and Chopper are based on the original concepts for Chewie and R2. That's so neat! https://t.co/uAtRhJKvQE,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,5,40,353,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 00:39:15+00:00,Wolverine Generations,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,de,1,0,53,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 00:03:31+00:00,@Mowzer8 I don't want to know who slam dunked the touchdown. Hiiisss,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,1,0,1,0,http://twitter.com/download/android,Twitter for Android
2022-12-10 00:01:37+00:00,@27Zawag The design is bad but the literal animation is also worse,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,2,0,55,0,http://twitter.com/download/android,Twitter for Android
2022-12-09 23:08:59+00:00,It's always okay to punch Nazis twitter.com/AltosAlt/statu… https://t.co/3M8jpg9nET,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,10,139,911,1,http://twitter.com/download/android,Twitter for Android
2022-12-09 23:03:18+00:00,@TylerJEsquire Which would have probably worked alright but the literal model quality looks worse than the rest of the show which doesn't help,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,0,0,25,0,http://twitter.com/download/android,Twitter for Android
2022-12-09 23:02:28+00:00,Remember Master Yoda? He was once the wisest Jedi of all time but after the Clone War he started abusing drugs. This is him now.  Before                                                After https://t.co/P7dRgWlt2C,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,12,35,376,2,http://twitter.com/download/android,Twitter for Android
2022-12-09 22:54:06+00:00,Why does he look like that? The animation for Yoda looks notabley worse than the rest of the show 😭 https://t.co/LPd3zCzmUz,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,28,14,535,7,http://twitter.com/download/android,Twitter for Android
2022-12-09 21:51:40+00:00,I wanna watch ZSJL in chapters one day. I've wanted to rewatch it for awhile but my ass is not focusing on one thing for 4 hours uninterrupted again. I'm interested to see how the experience compares episodicly.,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,3,0,49,0,http://twitter.com/download/android,Twitter for Android
2022-12-09 21:47:54+00:00,Y'all gotta stop doing that man like this 😭,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,0,0,99,0,http://twitter.com/download/android,Twitter for Android
2022-12-09 21:47:08+00:00,I don't know what any of this means and i don't wanna 😭,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,0,0,20,0,http://twitter.com/download/android,Twitter for Android
2022-12-09 21:43:47+00:00,I promise you it's really easy to to praise the films without shitting on 70+ years of comics you didn't read.  Watch me. Look.  I think the themes Snyder explored with Superman and Batman in the world he set up was really interesting and a pretty cool take on the characters.,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,5,8,246,0,http://twitter.com/download/android,Twitter for Android
2022-12-09 21:43:47+00:00,Snyder's impact on Batman and Superman was actually so great it rippled through time and made them interesting and well explored characters  to the point they're two of the most iconic fictional superheroes today! twitter.com/DCSnyder5Fan/s…,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,8,31,758,2,http://twitter.com/download/android,Twitter for Android
2022-12-09 21:36:52+00:00,Foot soccer sport ball keeps making it on to my timeline https://t.co/byRYK3PJio,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,8,3,138,0,http://twitter.com/download/android,Twitter for Android
2022-12-09 21:19:37+00:00,"@The_Titantron99 Yeah... I feel like something got lost in translation ""sequel the first DLC but also make it like you only have to play the second game to understand""",ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,1,0,3,0,http://twitter.com/download/android,Twitter for Android
2022-12-09 21:11:39+00:00,@Kortisex I think Chloe probably still have that crown through the comics and games but she's definitely up there with Max probably since a novel is quite significant.,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,0,0,7,0,http://twitter.com/download/android,Twitter for Android
2022-12-09 20:24:52+00:00,@scots_dragon They were doing the most to get a lightsaber in her hand at every opportunity https://t.co/fFGu1Hvsu1,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,2,2,40,0,http://twitter.com/download/android,Twitter for Android
2022-12-09 20:18:09+00:00,Force Unleashed 2 Leia going full Jedi in the DLC was so cool! https://t.co/CUc5FGx03c,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,11,48,790,2,http://twitter.com/download/android,Twitter for Android
2022-12-09 20:03:00+00:00,@pera_nox Ngl always get those vibes when someone refusing to use a chosen name because they don't like them. I'll cop to it being a stretch but it has the worst vibes regardless,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,0,0,4,0,http://twitter.com/download/android,Twitter for Android
2022-12-09 20:00:50+00:00,@ZMaalk Also an aside did Leia or Rey even know Yoda spoke to him? I can't recall if he mentioned.,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,0,0,1,0,http://twitter.com/download/android,Twitter for Android
2022-12-09 19:58:58+00:00,@ZMaalk Well TFA and LJ are right after each other so that's why it's Tros. What Yoda said hinged a lot on Rey.  Didn't seem to slow down Luke.,ComicGirlAshley,Heyya It's Ashley! Here to talk about all kinds of comics with you beautiful geeks!,Ashley Talks Comics!,False,26626,97,19968,134,6255,en,1,0,1,0,http://twitter.com/download/android,Twitter for Android
